question,criteria
Tell me about a time when you were asked to do something you had never done before. How did you react? What did you learn?,adaptability
"Describe a situation in which you embraced a new system, process, technology, or idea at work that was a major departure from the old way of doing things.",adaptability
Recall a time when you were assigned a task outside of your job description. How did you handle the situation? What was the outcome?,adaptability
Tell me about the biggest change you’ve had to deal with? How did you adapt to that change? ,adaptability
Tell me about a time when you had to adjust to a colleague’s working style in order to complete a project or achieve your outcomes.,adaptability
What are the three things that are most important to you in a job?,culture add
"Tell me about a time in the last week when you’ve been satisfied, energized, and productive at work. What were you doing?",culture add
What’s the most interesting thing about you that’s not on your resume?,culture add
What would make you choose our company over others?,culture add
"What’s the biggest misconception your coworkers have about you, and why do they think that?",culture add
Give an example of when you had to work with someone who was difficult to get along with. How did you handle interactions with that person?,collaboration
Tell me about a time when you were communicating with someone and they did not understand you. What did you do?,collaboration
Tell me about one of your favorite experiences working with a team and the contributions you made.,collaboration
Describe the best partner or supervisor you’ve worked with. What part of their management style appealed to you?,collaboration
Can you share an experience where a project dramatically shifted direction at the last minute? What did you do?,collaboration
Tell me about the last time something significant didn’t go according to plan at work. What was your role? What was the outcome?,leadership
Describe a situation where you needed to persuade someone to see things your way. What steps did you take? What were the results?,leadership
Tell me about a time when you led by example. What did you do and how did others react?,leadership
Tell me about the toughest decision you had to make in the last six months.,leadership
Have you ever had to “sell” an idea to your coworkers or group? How did you do it? What were the results?,leadership
Recall a time when your manager was unavailable when a problem arose. How did you handle the situation? Who did you consult with?,growth potential
"Describe a time when you volunteered to expand your knowledge at work, as opposed to being directed to do so.",growth potential
What would motivate you to make a move from your current role?,growth potential
When was the last time you asked for direct feedback from a superior? Why?,growth potential
What’s the biggest career goal you’ve achieved?,growth potential
Tell me about a time when you had to juggle several projects at the same time. How did you organize your time? What was the result?,prioritization
Tell me about a project that you planned. How did you organize and schedule the tasks?,prioritization
Describe a time when you felt stressed or overwhelmed. How did you handle it?,prioritization
Give an example of a time when you delegated an important task successfully.,prioritization
How do you determine what amount of time is reasonable for a task?,prioritization
