position,question,topic,example_answer
be,Compare Relational DB (SQL) vs NoSQL. It's also really nice to know about newSQL (a kind of auto sharding DB which support SQL stuff but scale like NoSQL),database,"Relational DB is organized by schema, table. All records in a table must be in the same structure, follow some constraints. Relational DB guarantees ACID characteristics so it is safe and stable.NoSQL is something that is not relational DB. Currently, it contains 4 main kinds:- The first kind is Document. In this kind, each piece of data is a JSON document.- The second is Key-Value DB. Simply, it is like a hash map that maps one key to one value.- The third is Wide Column DB. Records in a table can have a different number of columns.- The last one is Graph which is suitable for some graph-like data, for example, connections of people on a social network."
be,How these 2 things can scale up?,database,"Usually, people scale up Relational DB vertically. Add more CPU, more RAM, more storage. An additional thing we can do is sharding, that device data into different clusters, different nodes. Due to ACID characteristics, relational DB needs to do more work when writing and reading data to ensure those characteristics.Cause NoSQL sacrifices one or some ACID characteristics, it can be easily scaled horizontally just by simply adding nodes."
be,3 normal forms in DBMS,database,"The first normal form is about making everything atomic. It means a column stores a single value, not multiple values.The second normal form is about removing partial dependencies. It means no column depends only on a subset of the candidate key of the relation.The third normal form is about removing transitive dependencies. It means there is no relationship that column A depends on column B, and column B depends on column C."
be,ACID of SQL and BASE of NoSQL? Why NoSQL is eventual consistency?,database,BASE:- Basically Availability- Soft state- Eventually consistency
be,What is parameterized statement (in Java it's prepared statement)? How does it work **internally**?,database,"A parameterized statement is a statement that we can customize, like changing filter conditions."
be,What is SQL injection? How to avoid it?,database,SQL injection is when the attacker sends a parameter that contains SQL queries and hopes this query will be executed in the system's database.SQL injection can be avoided by escaping special characters in the params that users submit to the system.
be,"How many ""requests"" you have to send to Database in a single prepared statement query? // one for compile and one for execute",database,"It includes 2 steps, compile and execute.First, the database management system will compile the statement template then store the result without executing it.Next, the necessary values will be bound into the compiled statement template, then the statement will be executed."
be,Can you reuse the compiled query multiple times? (does it help to speed up your application?),database,"Yes, we can reuse the compiled query multiple times with different bound values. And yes it speeds up the application."
be,How indexing works internally?,database,Indexing adds a data structure with columns for the search conditions and a pointer. The pointer is the address on the memory disk of the row with the rest of the information. The query looks for the specific row in the index; the index refers to the pointer which will find the rest of the information.
be,How composite indexing works?,database,"It's like a single index but the key is a compound key, which is the combined values of these columns that are indexed.Let셲 say we have an index defined on 4 columns  col1, col2, col3, col4. With a composite index, we have search capability on col1, (col1, col2) , (col1, col2, col3) , (col1, col2, col3, col4). So we can use any left side prefix of the indexed columns, but we can셳 omit a column from the middle & use that like  (col1, col3) or (col1, col2, col4) or col3 or col4 etc. These are invalid combinations."
be,How to know your query is using index?,database,"By adding ""explain"" in fe of the query, we will get how the query ran and if it uses index or not.The query optimizer will use index automatically if possible and chose the index that it thinks is the best. And we can force our query to use an index by specifying it in the query."
be,How index work in this case: `WHERE age = 5` and `Where age > 5`? The complexity to go to the next record?,database,"It depends on the index type is hashing or B-Tree. If the index type is B-Tree, there is no difference between these two cases. The complexity to go to the next record is O(1) because all the leaves are linked together as a doubly linked list."
be,Indexing with char?,database,"For text fields, index on that column only is used when filter condition filters a prefix of this column."
be,"Compare `WHERE id = 'a' AND id = 'b' AND id = 'c'` vs `WHERE id in (a, b, c)`?",database,"In MySQL, the values in the IN list will be sorted and MySQL will use binary search to check if the current value is in the list. So the check operator will cost O(log N) complexity, with N being the number of elements that need to be compared."
be,Complexity of this query `SELECT * FROM abc ORDER BY name LIMIT 10 OFFSET 1000000` // SELECT 10 record from offset 10^6 after sort by name (which is a char)? How to optimize it?,database,O(N log N) with N being the total number of records.We can optimize the query by indexing the column name.
be,What is the complexity of COUNT(\*) query?,database,"In MySQL, it depends on the storage engine that the table uses. For MyISAM, the total number of rows is stored with each table so the complexity is O(1), but for InnoDB, it is O(N)."
be,How to write query to avoid full table scan?,database,We need to write a query that takes advantage of index if any.
be,What is Database Replicating? When do we need it?,database,Database replicating is the act of making one or many copies of a database to increase the availability of data.
be,What is bin log? How Master DB sync with Slave DB?,database,"When data is written into DB, first it will be stored in Write Ahead Logs (bin logs). Master DB send these log to Slave DB so Slave DB can also have those changes."
be,Can a Slave DB be a slave of another Slave DB (we do not need to sync from Master DB directly)?,database,Yes it can.
be,What is Database Sharding? When we need it?,database,"Sharding happens when a database is too big so the query time increases. We shard database to improve query time and also increase the availability of the system. If one shard is down, there is only a portion failure."
be,How to ensure primary key is globally unique when sharding?,database,"We can have a key generating system that generates keys for all servers. But this server can be a central point of failure. To improve that, we can have multiple servers to generate keys, each server is in charge of some range of keys."
